time (s),position (m),speed (m/s)
5.799999999999995,12.832500000000007,4.350000000000005
5.899999999999995,13.275000000000007,4.425000000000005
5.999999999999995,13.725000000000009,4.500000000000005
6.099999999999994,14.18250000000001,4.5750000000000055
6.199999999999994,14.64750000000001,4.650000000000006
6.299999999999994,15.12000000000001,4.725000000000006
6.399999999999993,15.60000000000001,4.800000000000006
6.499999999999993,16.08750000000001,4.875000000000006
6.5999999999999925,16.58250000000001,4.950000000000006
6.699999999999992,17.08500000000001,5.025000000000007
6.799999999999992,17.595000000000013,5.100000000000007
6.8999999999999915,18.112500000000015,5.175000000000007
6.999999999999991,18.637500000000017,5.250000000000007
7.099999999999991,19.17000000000002,5.325000000000007
7.19999999999999,19.71000000000002,5.4000000000000075
7.29999999999999,20.257500000000018,5.475000000000008
7.39999999999999,20.812500000000018,5.550000000000008
7.499999999999989,21.375000000000018,5.625000000000008
7.599999999999989,21.945000000000018,5.700000000000008
7.699999999999989,22.52250000000002,5.775000000000008
7.799999999999988,23.10750000000002,5.8500000000000085
7.899999999999988,23.70000000000002,5.925000000000009
7.999999999999988,24.300000000000022,6.000000000000009
8.099999999999987,24.907500000000024,6.075000000000009
8.199999999999987,25.522500000000026,6.150000000000009
8.299999999999986,26.145000000000028,6.225000000000009
8.399999999999986,26.77500000000003,6.30000000000001
8.499999999999986,27.41250000000003,6.37500000000001
8.599999999999985,28.05750000000003,6.45000000000001
8.699999999999985,28.71000000000003,6.52500000000001
8.799999999999985,29.37000000000003,6.60000000000001
8.899999999999984,30.03750000000003,6.6750000000000105
8.999999999999984,30.71250000000003,6.750000000000011
9.099999999999984,31.39500000000003,6.825000000000011
9.199999999999983,32.08500000000003,6.900000000000011
9.299999999999983,32.78250000000003,6.975000000000011
9.399999999999983,33.487500000000026,7.050000000000011
9.499999999999982,34.200000000000024,7.1250000000000115
9.599999999999982,34.92000000000002,7.200000000000012
9.699999999999982,35.64750000000002,7.275000000000012
9.799999999999981,36.38250000000002,7.350000000000012
9.89999999999998,37.12500000000002,7.425000000000012
9.99999999999998,37.87500000000002,7.500000000000012
10.09999999999998,38.63250000000002,7.575000000000013
10.19999999999998,39.39750000000002,7.650000000000013
10.29999999999998,40.17000000000002,7.725000000000013
10.399999999999979,40.950000000000024,7.800000000000013
10.499999999999979,41.737500000000026,7.875000000000013
10.599999999999978,42.53250000000003,7.9500000000000135
10.699999999999978,43.33500000000003,8.025000000000013
10.799999999999978,44.14500000000003,8.100000000000012
10.899999999999977,44.962500000000034,8.175000000000011
10.999999999999977,45.78750000000004,8.25000000000001
11.099999999999977,46.62000000000004,8.32500000000001
11.199999999999976,47.46000000000004,8.40000000000001
11.299999999999976,48.30750000000005,8.475000000000009
11.399999999999975,49.16250000000005,8.550000000000008
11.499999999999975,50.02500000000005,8.625000000000007
11.599999999999975,50.895000000000046,8.700000000000006
11.699999999999974,51.77250000000004,8.775000000000006
11.799999999999974,52.65750000000004,8.850000000000005
11.899999999999974,53.55000000000004,8.925000000000004
11.999999999999973,54.45000000000004,9.000000000000004
12.099999999999973,55.35750000000004,9.075000000000003
12.199999999999973,56.272500000000036,9.150000000000002
